epoch	iter	running_loss	lr	loss_classifier	loss_box_reg	loss_mask	loss_objectness	loss_rpn_box_reg
5	0	2.171619	0.000259	0.603589	0.962651	0.298465	0.176784	0.130129
5	100	2.739491	0.000257	1.045443	1.199221	0.482884	0.096391	0.129420
5	200	2.724569	0.000254	0.229217	1.535414	0.345000	0.169456	0.377200
5	300	2.675766	0.000252	1.248169	2.182651	0.375437	0.041028	0.242286
5	400	2.610495	0.000249	0.565307	1.810799	0.471856	0.118406	0.155116
5	500	2.607247	0.000247	0.272632	0.697200	0.454026	0.184128	0.225292
5	600	2.627685	0.000244	1.022524	1.200883	0.375961	0.124644	0.438644
5	700	2.620463	0.000242	1.017585	1.794697	0.618057	0.103180	0.172623
5	800	2.595365	0.000239	0.189721	1.382715	0.387636	0.243536	0.765671
5	900	2.593326	0.000237	0.268632	0.457307	0.456539	0.829126	0.321447
5	1000	2.598502	0.000234	0.213344	1.104663	0.371392	0.106438	0.214674
5	1100	2.590841	0.000232	0.251527	1.052846	0.457504	0.079718	0.326995
5	1200	2.583267	0.000229	1.204662	1.324529	0.472956	0.294469	0.275841
5	1300	2.588771	0.000227	0.164900	0.927228	0.496569	0.499613	0.523675
5	1400	2.621739	0.000224	0.155254	0.790207	0.418194	0.119728	0.144434
5	1500	2.626318	0.000222	0.135827	0.599033	0.194814	0.133005	0.035340
5	1600	2.626993	0.000219	0.186875	0.051952	0.426260	0.142353	0.137471
5	1700	2.631116	0.000217	0.406847	0.988520	0.496900	0.550523	0.405441
5	1800	2.623059	0.000214	0.702136	1.109246	0.329117	0.113701	0.174056
5	1900	2.612684	0.000211	0.312276	1.253917	0.574355	0.063925	0.343739
5	2000	2.600839	0.000209	0.158321	0.042571	0.256852	0.045602	0.259631
5	2066	2.600305	0.000207	0.459696	2.156481	0.534402	0.152664	0.233129
6	0	3.008007	0.000207	0.281244	2.254692	0.321555	0.101880	0.048635
6	100	2.709932	0.000205	0.150293	0.164490	0.235515	0.105414	0.558732
6	200	2.633128	0.000202	0.161676	0.012524	0.469751	0.047756	0.347197
6	300	2.609446	0.000200	0.999828	2.512211	0.536382	0.146236	0.559339
6	400	2.577651	0.000197	0.266905	1.319681	0.583583	0.106663	0.245292
6	500	2.548660	0.000194	0.441040	0.792647	0.233239	0.053508	0.249330
6	600	2.544749	0.000192	0.083601	0.762489	0.372014	0.065595	0.201698
6	700	2.567958	0.000189	0.955447	1.102042	0.391322	0.270998	0.292848
6	800	2.557888	0.000187	0.083781	0.044555	0.388080	0.058383	0.305913
6	900	2.553474	0.000184	0.499737	1.573697	0.479350	0.361511	0.474006
6	1000	2.574537	0.000182	0.979381	1.810571	0.608296	0.225474	0.302214
6	1100	2.569835	0.000179	0.636784	1.071230	0.268318	0.068377	0.104244
6	1200	2.575901	0.000177	0.446644	1.161369	0.421041	0.264259	0.437406
6	1300	2.584387	0.000174	0.325330	1.211960	0.308030	0.140781	0.154981
6	1400	2.595228	0.000172	0.679143	0.745207	0.246890	0.145141	0.284073
6	1500	2.599976	0.000169	0.145314	1.156856	0.466072	0.107212	0.248613
6	1600	2.604097	0.000167	1.288111	2.261835	0.448663	0.265927	0.304609
6	1700	2.602322	0.000164	0.448035	2.673109	0.421190	0.160811	0.374598
6	1800	2.603367	0.000162	1.037599	1.151323	0.473561	0.164590	0.208422
6	1900	2.597393	0.000159	0.317589	1.261650	0.331498	0.092506	0.288286
6	2000	2.591587	0.000157	0.111266	0.393226	0.403970	0.175456	0.776593
6	2066	2.599306	0.000155	0.111246	0.002631	0.393230	0.057239	0.176790
7	0	4.387936	0.000155	1.238936	1.845959	0.564296	0.452143	0.286602
7	100	2.808808	0.000153	0.268528	0.563210	0.359293	0.106819	0.807430
7	200	2.708612	0.000150	0.880174	1.414320	0.584160	0.660912	0.945939
7	300	2.677327	0.000148	0.129625	0.002567	0.650108	0.064522	0.356906
7	400	2.655843	0.000145	0.142875	0.024421	0.352908	0.036113	0.293175
7	500	2.610122	0.000143	0.625861	1.377672	0.560727	0.131620	0.352304
7	600	2.622253	0.000140	0.336967	1.560143	0.423490	0.475165	0.528556
7	700	2.618068	0.000138	1.037102	1.012290	0.368555	0.036676	0.299558
7	800	2.604071	0.000135	0.502515	0.550031	0.280890	0.080014	0.279861
7	900	2.613641	0.000133	0.547091	1.077391	0.443469	0.138132	0.133744
7	1000	2.602642	0.000131	0.691699	1.113968	0.278149	0.100966	0.156324
7	1100	2.592649	0.000128	1.334072	1.148844	0.460858	0.414694	0.307235
7	1200	2.599581	0.000126	0.345048	1.405135	0.443554	0.202450	0.357113
7	1300	2.608090	0.000124	0.060826	0.037116	0.445315	0.085905	0.111151
7	1400	2.605539	0.000121	0.622714	1.510905	0.295450	0.016948	0.262086
7	1500	2.598772	0.000119	0.601005	2.087229	0.574823	0.233402	0.332034
7	1600	2.591413	0.000117	1.309576	1.972049	0.368136	0.090415	0.436498
7	1700	2.597138	0.000114	0.487468	1.600644	0.484103	0.105413	0.542865
7	1800	2.596110	0.000112	0.512767	1.497841	0.353024	0.230836	0.422577
7	1900	2.587464	0.000110	0.682914	1.852870	0.445379	0.101756	0.343363
7	2000	2.578017	0.000108	0.196709	0.015714	0.579872	0.099433	0.315318
7	2066	2.580396	0.000106	0.115461	0.118034	0.570289	0.366917	0.836466
